i,Length_LCS,time
5240,1172,0.101000
5250,1187,0.090000
5260,1177,0.113000
5270,1192,0.088000
5280,1186,0.109000
5290,1186,0.100000
5300,1188,0.118000
5310,1185,0.098000
5320,1203,0.117000
5330,1195,0.115000
5340,1188,0.116000
5350,1208,0.117000
5360,1203,0.117000
5370,1198,0.118000
5380,1205,0.116000
5390,1210,0.116000
5400,1207,0.117000
5410,1219,0.120000
5420,1216,0.113000
5430,1217,0.118000
5440,1211,0.083000
5450,1224,0.129000
5460,1221,0.135000
5470,1226,0.117000
5480,1227,0.115000
5490,1232,0.099000
5500,1238,0.119000
5510,1245,0.117000
5520,1252,0.101000
5530,1249,0.114000
5540,1244,0.134000
5550,1243,0.118000
5560,1252,0.133000
5570,1242,0.116000
5580,1259,0.133000
5590,1260,0.099000
5600,1269,0.118000
5610,1254,0.101000
5620,1255,0.101000
5630,1259,0.104000
5640,1288,0.095000
5650,1269,0.130000
5660,1287,0.102000
5670,1284,0.137000
5680,1268,0.129000
5690,1279,0.133000
5700,1282,0.118000
5710,1271,0.127000
5720,1288,0.153000
5730,1287,0.166000
5740,1294,0.172000
5750,1295,0.163000
5760,1293,0.181000
5770,1306,0.165000
5780,1297,0.189000
5790,1294,0.130000
5800,1298,0.171000
5810,1303,0.176000
5820,1305,0.136000
5830,1315,0.131000
5840,1318,0.183000
5850,1314,0.134000
5860,1317,0.134000
5870,1311,0.189000
5880,1330,0.141000
5890,1329,0.169000
5900,1331,0.149000
5910,1329,0.184000
5920,1349,0.181000
5930,1331,0.174000
5940,1327,0.173000
5950,1331,0.186000
5960,1347,0.142000
5970,1335,0.137000
5980,1336,0.179000
5990,1361,0.176000
6000,1344,0.144000
6010,1356,0.135000
6020,1365,0.182000
6030,1371,0.191000
6040,1370,0.173000
6050,1361,0.189000
6060,1369,0.187000
6070,1379,0.172000
6080,1381,0.184000
6090,1367,0.136000
6100,1370,0.183000
6110,1375,0.183000
6120,1363,0.198000
6130,1376,0.136000
6140,1387,0.149000
6150,1387,0.197000
6160,1383,0.189000
6170,1398,0.178000
6180,1379,0.194000
6190,1385,0.177000
6200,1386,0.229000
6210,1400,0.186000
6220,1399,0.213000
6230,1409,0.202000
6240,1408,0.197000
6250,1415,0.156000
6260,1406,0.148000
6270,1419,0.203000
6280,1412,0.170000
6290,1412,0.199000
6300,1427,0.200000
6310,1411,0.193000
6320,1408,0.207000
6330,1438,0.163000
6340,1433,0.197000
6350,1412,0.164000
6360,1436,0.204000
6370,1439,0.151000
6380,1445,0.184000
6390,1430,0.197000
6400,1437,0.200000
6410,1445,0.204000
6420,1439,0.192000
6430,1452,0.207000
6440,1450,0.196000
6450,1467,0.199000
6460,1450,0.202000
6470,1446,0.197000
6480,1477,0.204000
6490,1444,0.149000
6500,1463,0.213000
6510,1470,0.199000
6520,1464,0.216000
6530,1469,0.153000
6540,1461,0.203000
6550,1467,0.212000
6560,1479,0.153000
6570,1466,0.202000
6580,1499,0.214000
6590,1478,0.212000
6600,1498,0.182000
6610,1487,0.215000
6620,1482,0.168000
6630,1494,0.168000
6640,1487,0.220000
6650,1502,0.216000
6660,1495,0.211000
6670,1506,0.169000
6680,1507,0.217000
6690,1494,0.209000
6700,1499,0.219000
6710,1501,0.165000
6720,1530,0.166000
6730,1518,0.219000
6740,1517,0.215000
6750,1509,0.212000
6760,1519,0.217000
6770,1518,0.226000
6780,1519,0.220000
6790,1532,0.225000
6800,1541,0.166000
6810,1530,0.215000
6820,1541,0.213000
6830,1538,0.181000
6840,1540,0.219000
6850,1539,0.170000
6860,1537,0.234000
6870,1552,0.182000
6880,1543,0.236000
6890,1553,0.213000
6900,1557,0.234000
6910,1549,0.216000
6920,1556,0.231000
6930,1572,0.173000
6940,1561,0.228000
6950,1564,0.233000
6960,1564,0.232000
6970,1565,0.235000
6980,1575,0.220000
6990,1563,0.182000
7000,1589,0.229000
7010,1585,0.233000
7020,1589,0.238000
7030,1599,0.230000
7040,1591,0.243000
7050,1591,0.178000
7060,1593,0.245000
7070,1591,0.233000
7080,1601,0.232000
7090,1592,0.172000
7100,1591,0.185000
7110,1603,0.250000
7120,1602,0.238000
7130,1606,0.177000
7140,1610,0.244000
7150,1608,0.238000
7160,1620,0.247000
7170,1624,0.188000
7180,1621,0.245000
7190,1620,0.250000
7200,1609,0.243000
7210,1626,0.240000
7220,1639,0.203000
7230,1632,0.245000
7240,1635,0.245000
7250,1627,0.240000
7260,1637,0.224000
7270,1630,0.242000
7280,1633,0.242000
7290,1637,0.266000
7300,1643,0.252000
7310,1650,0.258000
7320,1639,0.187000
7330,1634,0.262000
7340,1652,0.253000
7350,1661,0.202000
7360,1660,0.263000
7370,1668,0.254000
7380,1669,0.214000
7390,1659,0.211000
7400,1671,0.265000
7410,1666,0.262000
7420,1666,0.245000
7430,1668,0.218000
7440,1680,0.202000
7450,1675,0.271000
7460,1688,0.229000
7470,1685,0.247000
7480,1688,0.269000
7490,1701,0.268000
7500,1692,0.283000
7510,1717,0.263000
7520,1694,0.269000
7530,1703,0.271000
7540,1700,0.262000
7550,1697,0.263000
7560,1702,0.276000
7570,1701,0.258000
7580,1705,0.270000
7590,1709,0.216000
7600,1707,0.269000
7610,1715,0.262000
7620,1713,0.256000
7630,1737,0.277000
7640,1725,0.280000
7650,1723,0.266000
7660,1727,0.265000
7670,1720,0.281000
7680,1745,0.281000
7690,1728,0.269000
7700,1733,0.283000
7710,1735,0.266000
7720,1730,0.283000
7730,1749,0.289000
7740,1745,0.279000
7750,1753,0.292000
7760,1747,0.275000
7770,1749,0.289000
7780,1739,0.280000
7790,1763,0.286000
7800,1753,0.294000
7810,1764,0.285000
7820,1751,0.208000
7830,1758,0.291000
7840,1772,0.294000
7850,1779,0.243000
7860,1771,0.285000
7870,1777,0.196000
7880,1794,0.273000
7890,1769,0.273000
7900,1792,0.266000
7910,1800,0.267000
7920,1776,0.295000
7930,1779,0.256000
7940,1796,0.279000
7950,1793,0.266000
7960,1794,0.290000
7970,1800,0.200000
7980,1790,0.271000
7990,1803,0.272000
8000,1798,0.280000
8010,1803,0.261000
8020,1811,0.274000
8030,1796,0.284000
8040,1818,0.298000
8050,1814,0.203000
8060,1824,0.233000
8070,1822,0.284000
8080,1818,0.294000
8090,1820,0.208000
8100,1832,0.295000
8110,1827,0.222000
8120,1819,0.292000
8130,1821,0.303000
8140,1840,0.278000
8150,1832,0.205000
8160,1837,0.285000
8170,1835,0.313000
8180,1853,0.217000
8190,1842,0.282000
8200,1863,0.227000
8210,1845,0.305000
8220,1867,0.282000
8230,1866,0.284000
8240,1857,0.287000
8250,1849,0.324000
8260,1858,0.207000
8270,1873,0.301000
8280,1854,0.251000
8290,1863,0.294000
8300,1871,0.221000
8310,1870,0.300000
8320,1868,0.337000
8330,1879,0.309000
8340,1879,0.309000
8350,1879,0.246000
8360,1894,0.254000
8370,1884,0.243000
8380,1887,0.308000
8390,1902,0.305000
8400,1887,0.255000
8410,1886,0.313000
8420,1894,0.285000
8430,1897,0.305000
8440,1910,0.333000
8450,1907,0.301000
8460,1915,0.301000
8470,1926,0.301000
8480,1905,0.341000
8490,1903,0.290000
8500,1916,0.233000
8510,1914,0.315000
8520,1919,0.258000
8530,1943,0.310000
8540,1906,0.303000
8550,1942,0.273000
8560,1937,0.223000
8570,1928,0.323000
8580,1933,0.307000
8590,1936,0.323000
8600,1926,0.339000
8610,1945,0.309000
8620,1949,0.237000
8630,1942,0.281000
8640,1953,0.314000
8650,1939,0.236000
8660,1950,0.250000
8670,1954,0.345000
8680,1946,0.314000
8690,1949,0.321000
8700,1946,0.257000
8710,1967,0.244000
8720,1967,0.321000
8730,1967,0.323000
8740,1961,0.321000
8750,1975,0.367000
8760,1969,0.313000
8770,1990,0.321000
8780,1991,0.330000
8790,1982,0.315000
8800,1979,0.239000
8810,1982,0.344000
8820,1985,0.325000
8830,1980,0.245000
8840,1995,0.240000
8850,1980,0.343000
8860,2004,0.333000
8870,1996,0.325000
8880,2004,0.323000
8890,2016,0.333000
8900,1998,0.280000
8910,2005,0.333000
8920,2005,0.257000
8930,2007,0.338000
8940,2012,0.324000
8950,2031,0.281000
8960,2010,0.377000
8970,2021,0.356000
8980,2022,0.282000
8990,2033,0.333000
9000,2033,0.374000
9010,2037,0.358000
9020,2026,0.351000
9030,2039,0.258000
9040,2036,0.385000
9050,2052,0.322000
9060,2049,0.340000
9070,2048,0.268000
9080,2031,0.263000
9090,2060,0.308000
9100,2051,0.281000
9110,2059,0.383000
9120,2060,0.354000
9130,2051,0.278000
9140,2066,0.352000
9150,2065,0.266000
9160,2071,0.266000
9170,2065,0.273000
9180,2066,0.357000
9190,2069,0.328000
9200,2062,0.360000
9210,2065,0.261000
9220,2079,0.358000
9230,2083,0.374000
9240,2079,0.288000
9250,2083,0.373000
9260,2099,0.392000
9270,2097,0.364000
9280,2086,0.284000
9290,2095,0.361000
9300,2109,0.353000
9310,2114,0.373000
9320,2122,0.376000
9330,2105,0.310000
9340,2101,0.378000
9350,2112,0.373000
9360,2134,0.285000
9370,2124,0.388000
9380,2113,0.309000
9390,2122,0.383000
9400,2112,0.316000
9410,2131,0.376000
9420,2101,0.375000
9430,2124,0.374000
9440,2136,0.278000
9450,2130,0.380000
9460,2133,0.279000
9470,2124,0.322000
9480,2139,0.320000
9490,2156,0.391000
9500,2146,0.394000
9510,2138,0.345000
9520,2150,0.379000
9530,2147,0.397000
9540,2154,0.418000
9550,2162,0.310000
9560,2151,0.386000
9570,2151,0.289000
9580,2162,0.390000
9590,2166,0.354000
9600,2165,0.423000
9610,2157,0.286000
9620,2173,0.344000
9630,2191,0.433000
9640,2186,0.289000
9650,2165,0.400000
9660,2178,0.418000
9670,2182,0.423000
9680,2173,0.284000
