i,Length_LCS,time
5410,1209,0.242
5420,1224,0.233
5430,1228,0.233
5440,1216,0.317
5450,1219,0.253
5460,1228,0.24
5470,1247,0.255
5480,1225,0.253
5490,1241,0.262
5500,1241,0.244
5510,1229,0.259
5520,1246,0.253
5530,1237,0.246
5540,1246,0.256
5550,1250,0.261
5560,1252,0.255
5570,1257,0.245
5580,1249,0.255
5590,1254,0.245
5600,1262,0.249
5610,1253,0.245
5620,1266,0.272
5630,1259,0.251
5640,1266,0.262
5650,1267,0.248
5660,1276,0.272
5670,1283,0.263
5680,1295,0.266
5690,1287,0.274
5700,1292,0.259
5710,1282,0.25
5720,1289,0.268
5730,1282,0.258
5740,1288,0.28
5750,1293,0.268
5760,1289,0.269
5770,1292,0.27
5780,1303,0.259
5790,1306,0.282
5800,1300,0.274
5810,1311,0.265
5820,1301,0.254
5830,1306,0.275
5840,1316,0.267
5850,1319,0.276
5860,1329,0.286
5870,1317,0.3
5880,1315,0.292
5890,1321,0.297
5900,1340,0.287
5910,1333,0.278
5920,1323,0.278
5930,1332,0.303
5940,1329,0.279
5950,1349,0.281
5960,1348,0.289
5970,1330,0.281
5980,1341,0.291
5990,1351,0.3
6000,1353,0.295
6010,1364,0.293
6020,1342,0.287
6030,1350,0.28
6040,1359,0.293
6050,1357,0.296
6060,1365,0.288
6070,1360,0.287
6080,1367,0.298
6090,1373,0.292
6100,1361,0.309
6110,1370,0.288
6120,1390,0.286
6130,1391,0.297
6140,1377,0.313
6150,1378,0.324
6160,1378,0.315
6170,1390,0.311
6180,1385,0.309
6190,1394,0.309
6200,1388,0.299
6210,1400,0.293
6220,1396,0.339
6230,1395,0.304
6240,1417,0.324
6250,1402,0.317
6260,1415,0.305
6270,1412,0.371
6280,1407,0.338
6290,1411,0.337
6300,1420,0.326
6310,1418,0.322
6320,1432,0.324
6330,1425,0.331
6340,1430,0.326
6350,1426,0.327
6360,1432,0.318
6370,1427,0.336
6380,1446,0.327
6390,1433,0.323
6400,1432,0.349
6410,1441,0.345
6420,1445,0.341
6430,1440,0.33
6440,1446,0.336
6450,1445,0.334
6460,1458,0.35
6470,1452,0.342
6480,1462,0.341
6490,1466,0.346
6500,1450,0.348
6510,1477,0.345
6520,1483,0.335
6530,1467,0.348
6540,1469,0.348
6550,1474,0.365
6560,1478,0.339
6570,1481,0.359
6580,1478,0.352
6590,1489,0.362
6600,1490,0.347
6610,1496,0.35
6620,1485,0.352
6630,1496,0.359
6640,1493,0.353
6650,1482,0.355
6660,1488,0.358
6670,1501,0.407
6680,1502,0.363
6690,1502,0.373
6700,1511,0.428
6710,1514,0.389
6720,1510,0.388
6730,1512,0.375
6740,1522,0.36
6750,1514,0.349
6760,1510,0.369
6770,1522,0.379
6780,1525,0.364
6790,1541,0.353
6800,1538,0.37
6810,1541,0.372
6820,1525,0.356
6830,1533,0.37
6840,1531,0.388
6850,1551,0.379
6860,1552,0.351
6870,1563,0.369
6880,1544,0.373
6890,1574,0.372
6900,1572,0.389
6910,1560,0.377
6920,1557,0.385
6930,1559,0.384
6940,1562,0.373
6950,1583,0.387
6960,1571,0.384
6970,1571,0.389
6980,1574,0.391
6990,1567,0.388
7000,1582,0.379
7010,1571,0.384
7020,1584,0.392
7030,1578,0.403
7040,1584,0.379
7050,1577,0.392
7060,1589,0.404
7070,1599,0.386
7080,1588,0.392
7090,1591,0.385
7100,1596,0.405
7110,1601,0.402
7120,1609,0.419
7130,1613,0.405
7140,1619,0.388
7150,1614,0.388
7160,1599,0.417
7170,1624,0.39
7180,1611,0.41
7190,1616,0.41
7200,1614,0.404
7210,1633,0.42
7220,1616,0.409
7230,1619,0.422
7240,1638,0.411
7250,1629,0.41
7260,1630,0.418
7270,1633,0.428
7280,1632,0.419
7290,1647,0.428
7300,1643,0.472
7310,1657,0.432
7320,1640,0.44
7330,1651,0.419
7340,1636,0.427
7350,1662,0.426
7360,1658,0.446
7370,1662,0.425
7380,1673,0.422
7390,1664,0.434
7400,1662,0.431
7410,1672,0.436
7420,1675,0.439
7430,1676,0.438
7440,1698,0.437
7450,1666,0.434
7460,1693,0.437
7470,1686,0.452
7480,1681,0.445
7490,1688,0.447
7500,1697,0.438
7510,1696,0.456
7520,1686,0.438
7530,1703,0.442
7540,1697,0.447
7550,1709,0.46
7560,1711,0.444
7570,1700,0.455
7580,1703,0.467
7590,1712,0.442
7600,1710,0.464
7610,1725,0.448
7620,1715,0.454
7630,1733,0.469
7640,1729,0.461
7650,1707,0.448
7660,1724,0.453
7670,1726,0.461
7680,1735,0.453
7690,1730,0.454
7700,1727,0.474
7710,1734,0.48
7720,1740,0.471
7730,1737,0.483
7740,1742,0.494
7750,1735,0.459
7760,1769,0.463
7770,1749,0.47
7780,1750,0.466
7790,1759,0.489
7800,1757,0.482
7810,1760,0.488
7820,1763,0.47
7830,1763,0.473
7840,1763,0.497
7850,1784,0.484
7860,1783,0.493
7870,1768,0.492
7880,1761,0.461
7890,1779,0.471
7900,1780,0.466
7910,1790,0.514
7920,1791,0.569
7930,1802,0.544
7940,1789,0.596
7950,1787,0.493
7960,1799,0.48
7970,1799,0.485
7980,1806,0.492
7990,1793,0.48
8000,1800,0.481
8010,1800,0.49
8020,1813,0.463
8030,1805,0.497
8040,1804,0.483
8050,1813,0.488
8060,1816,0.467
8070,1805,0.498
8080,1817,0.475
8090,1815,0.51
8100,1835,0.514
8110,1828,0.52
8120,1818,0.502
8130,1824,0.502
8140,1839,0.517
8150,1832,0.502
8160,1839,0.512
8170,1843,0.501
8180,1843,0.516
8190,1843,0.517
8200,1842,0.502
8210,1850,0.522
8220,1855,0.543
8230,1839,0.519
8240,1852,0.497
8250,1860,0.517
8260,1869,0.524
8270,1861,0.526
8280,1866,0.518
8290,1868,0.516
8300,1871,0.534
8310,1887,0.517
8320,1865,0.532
8330,1870,0.55
8340,1893,0.516
8350,1877,0.516
8360,1885,0.533
8370,1901,0.566
8380,1884,0.549
8390,1887,0.524
8400,1891,0.546
8410,1895,0.556
8420,1900,0.526
8430,1906,0.545
8440,1898,0.547
8450,1917,0.555
8460,1913,0.544
8470,1900,0.558
8480,1909,0.533
8490,1906,0.556
8500,1912,0.548
8510,1915,0.536
8520,1918,0.548
8530,1927,0.552
8540,1928,0.546
8550,1935,0.554
8560,1927,0.557
8570,1926,0.58
8580,1932,0.553
8590,1928,0.549
8600,1942,0.557
8610,1942,0.549
8620,1946,0.534
8630,1938,0.567
8640,1942,0.579
8650,1953,0.563
8660,1958,0.564
8670,1954,0.548
8680,1956,0.628
8690,1973,0.586
8700,1980,0.559
8710,1955,0.558
8720,1948,0.566
8730,1958,0.573
8740,1962,0.565
8750,1972,0.562
8760,1986,0.568
8770,1978,0.568
8780,1979,0.569
8790,1964,0.592
8800,1991,0.577
8810,2005,0.571
8820,1994,0.58
8830,1995,0.598
8840,1982,0.585
8850,1993,0.596
8860,2010,0.596
8870,2002,0.628
8880,2003,0.568
8890,1997,0.592
8900,1990,0.587
8910,2007,0.593
8920,2008,0.604
8930,1992,0.601
8940,2036,0.619
8950,2022,0.614
8960,2042,0.593
8970,2021,0.613
8980,2023,0.637
8990,2035,0.596
9000,2033,0.618
9010,2036,0.658
9020,2040,0.609
9030,2033,0.628
9040,2059,0.587
9050,2020,0.614
9060,2043,0.621
9070,2049,0.684
9080,2037,0.716
9090,2037,0.748
9100,2042,0.736
9110,2045,0.767
9120,2054,0.85
9130,2062,0.81
9140,2058,0.824
9150,2058,0.843
9160,2073,1.497
9170,2064,1.076
9180,2076,0.828
9190,2081,1.096
9200,2104,0.953
9210,2074,0.966
9220,2081,0.996
9230,2080,0.934
9240,2102,0.967
9250,2091,1.031
9260,2092,1.153
9270,2090,1.088
9280,2092,0.917
9290,2089,0.924
9300,2097,0.909
9310,2101,0.794
9320,2094,0.802
9330,2123,0.752
9340,2124,0.89
9350,2114,0.921
9360,2108,0.87
9370,2114,0.891
9380,2121,0.828
9390,2126,0.871
9400,2134,0.86
9410,2113,0.757
9420,2120,0.849
9430,2130,1.045
9440,2118,0.84
9450,2136,0.813
9460,2155,0.78
9470,2135,0.762
9480,2148,0.811
9490,2134,0.921
9500,2136,1.107
9510,2133,0.732
9520,2141,0.779
9530,2163,0.889
9540,2145,0.78
9550,2153,0.827
9560,2137,0.905
9570,2154,0.857
9580,2151,0.81
9590,2172,0.855
9600,2161,0.875
9610,2163,0.971
9620,2176,1.001
9630,2175,0.851
9640,2169,0.939
9650,2185,1.048
9660,2175,0.86
9670,2175,1.034
9680,2191,0.875
9690,2180,0.953
9700,2201,0.818
9710,2191,0.891
9720,2186,0.897
9730,2202,0.783
9740,2207,0.886
9750,2199,0.809
9760,2204,0.748
9770,2198,0.952
9780,2196,1.049
9790,2194,0.939
9800,2209,0.937
9810,2226,0.968
9820,2213,0.923
9830,2203,0.856
9840,2219,0.937
9850,2222,0.953
9860,2239,0.954
9870,2229,0.939
9880,2241,0.905
9890,2223,0.952
9900,2236,0.938
9910,2234,1
9920,2236,1.008
9930,2240,0.994
9940,2228,0.928
9950,2226,0.899
9960,2256,0.886
9970,2243,1.03
9980,2253,0.968
9990,2245,0.936
10000,2247,0.922
10010,2252,0.872
10020,2267,0.895
10030,2263,1.066
10040,2275,1.004
10050,2258,1.026
10060,2271,0.97
10070,2274,1.19
10080,2283,1.05
10090,2268,0.921
10100,2265,0.937
10110,2285,0.984
10120,2288,0.998
10130,2277,1.052
10140,2287,0.985
10150,2283,0.89
10160,2283,1.074
10170,2285,1.07
10180,2297,1.112
10190,2299,1.014
10200,2309,0.936
10210,2315,1.142
10220,2300,1.029
10230,2309,1.07
10240,2307,0.969
10250,2313,0.97
10260,2307,0.932
10270,2317,0.902
10280,2310,0.999
10290,2321,1.16
10300,2332,1.113
10310,2338,1.051
10320,2308,1.066
10330,2343,1.02
10340,2334,1.141
10350,2337,1
10360,2344,1.082
10370,2344,1.053
10380,2339,1.119
10390,2352,1.04
10400,2358,1.08
10410,2344,0.954
10420,2357,1.013
10430,2368,0.942
10440,2372,1.073
10450,2354,1.012
10460,2353,1.065
10470,2371,1.083
10480,2365,1.081
10490,2362,1.114
10500,2359,1.128
10510,2369,1.082
10520,2373,1.061
10530,2376,1.098
10540,2382,1.113
10550,2397,1.186
10560,2374,1.089
10570,2386,0.986
10580,2391,1.176
10590,2390,1.038
10600,2391,1.097
10610,2404,1.047
10620,2411,1.099
10630,2385,1.018
10640,2390,1.049
10650,2402,0.999
10660,2401,1.114
10670,2411,1.239
10680,2416,1.113
10690,2405,1.065
10700,2415,1.08
10710,2418,1.132
10720,2417,1.203
10730,2428,1.087
10740,2430,1.301
10750,2418,1.134
10760,2425,1.02
10770,2447,1.129
10780,2407,1.158
10790,2456,1.114
10800,2435,1.318
10810,2457,1.19
10820,2452,1.247
10830,2454,1.25
10840,2453,1.204
10850,2445,1.352
10860,2446,1.32
10870,2453,1.175
10880,2454,1.144
10890,2453,1.21
10900,2475,1.205
10910,2451,1.146
10920,2475,1.224
